,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,1890,0.0,0.8225174137987098,0.30978454947831724,0.501322180512248,0
1,1974,0.8695652173913043,0.9374015908773021,0.4792044789412776,0.3514284527648076,0
2,2003,0.1950263612186861,0.8307417323953903,0.3379008664834321,0.9404086824960632,0
3,2196,0.6756226527904932,0.6371247396644975,0.4189059469155322,0.21513311245878852,0
4,2378,0.9830310122878874,0.7692234986326327,0.17637675343657444,0.00010339886072030513,0
5,2581,0.3587518771900524,0.5505256745687919,0.6279498956260033,0.7750068577387832,0
6,2751,0.698414270329153,0.9082767150763599,0.19239509020081258,0.1466092249533928,0
7,3190,0.883601806295073,0.7008917378638158,0.4177682176504518,0.46736588002738455,0
8,3223,0.8503937007874014,0.9836676941882905,0.310971683767826,0.2876924169801187,0
9,3301,0.47058823529411054,0.3388264061663081,0.7526675667436087,0.2393198658634842,0
