,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,5500,0.6797939434788887,0.7177072977733607,0.2617663417755447,0.42895962642412966,0
1,5681,0.8450704225352111,0.4826115474008241,0.7701816702395669,0.052370633845662984,0
2,5727,0.6704761904761904,0.9596194714944348,0.6815959674235681,0.2264453211131453,0
3,5893,0.0,0.6971086923247779,0.059855718570943406,0.11252241781363614,0
4,5919,0.3230691569914136,0.7037980232831377,0.27156680426982616,0.40012795905310305,0
5,6060,0.34557235421166177,0.13486370271476222,0.12865067602738578,0.1169416401602813,0
6,6143,0.22249690976514302,0.4447497951243854,0.14233508315236076,0.21116392058170463,0
7,6250,0.4457369328563716,0.5649919770947314,0.4145251335373411,0.6431638576814509,0
8,6492,0.5482592291895501,0.7752759763091011,0.4742003459031682,0.7510333268276689,0
9,6600,0.2870813397129156,0.17160664954152205,0.4452977760154444,0.468311331504886,0
