,Seeds,Gap:5,Gap:12,Gap:30,Gap:50,Gap:100
0,10100,0.5696846388606309,0.9668900387262722,0.8983005655518829,0.6152307064249909,0
1,10274,0.5805958747135238,0.24783741102589452,0.8735163999963007,0.42340234137098764,0
2,10453,0.5314991402219784,0.7624034268936788,0.37900225738549065,0.31026570895699146,0
3,10679,0.40090681302947107,0.5209199471105266,0.09353003263493753,0.806537720973527,0
4,10712,0.9984563431923048,0.9994900926846296,0.40855898540860325,0.0881566266364906,0
5,10890,0.5106697708037422,0.4824631657548668,0.24242437136162764,0.40890147884062344,0
6,10910,0.6563584727043223,0.43213295341056934,0.6123195380173243,0.45974380624878497,0
7,11069,0.9923385625684057,0.6234693379819551,0.09244300748201295,0.08291213593607172,0
8,11170,0.8811609360700743,0.7120380460765696,0.14972946341148086,0.07768133944301148,0
9,11200,0.39981224951558103,0.4403790006745705,0.38613779765781253,0.90984842839771,0
